0,7,100
0,7,101
0,7,102
0,7,103
0,7,104
0,7,105
0,8,105
0,8,106
0,8,107
0,8,108
0,9,109
0,9,110
0,9,111
0,10,112
0,10,113
0,11,114
0,11,115
0,12,116
1,12,117
1,13,118
1,13,119
1,14,120
1,14,121
1,15,122
1,15,123
1,16,123
2,16,124
2,17,125
2,18,126
2,18,127
2,19,128
2,20,129
3,21,130
3,21,131
3,22,132
3,23,133
3,24,134
4,24,135
4,25,136
4,26,137
4,27,138
4,28,139
5,28,140
5,29,141
5,30,142
5,31,143
6,32,144
6,33,145
6,34,146
6,35,147
6,36,148
7,36,149
7,37,150
7,38,151
8,39,152
8,40,153
8,41,154
8,42,155
9,43,156
9,44,157
9,45,157
10,46,158
10,47,159
10,48,160
10,49,161
11,50,162
11,51,163
11,52,164
12,53,165
12,54,166
12,55,167
13,57,168
13,58,168
13,59,169
14,60,170
14,61,171
14,62,172
15,63,173
15,64,174
15,65,174
16,66,175
16,67,176
16,68,177
17,69,178
17,70,179
17,71,179
18,72,180
18,73,181
18,74,182
19,75,183
19,77,183
20,78,184
20,79,185
20,80,186
21,81,186
21,82,187
21,83,188
22,84,188
22,85,189
23,86,190
23,87,190
23,88,191
24,89,192
24,90,192
24,91,193
25,92,194
25,93,194
26,93,195
26,94,195
26,95,196
27,96,197
27,97,197
28,98,198
28,99,198
28,100,199
29,101,199
29,102,200
30,102,200
30,103,201
30,104,201
31,105,202
31,106,202
31,106,202
32,107,203
32,108,203
33,109,204
33,110,204
34,110,205
34,111,205
35,112,205
35,113,206
36,114,206
36,115,207
37,115,207
38,116,207
38,117,208
39,118,208
40,119,209
40,120,209
41,121,209
42,122,210
43,122,210
43,123,211
44,124,211
45,125,211
46,126,212
47,127,212
47,128,213
48,129,213
49,130,213
50,131,214
51,131,214
52,132,215
53,133,215
54,134,215
55,135,216
56,136,216
57,137,217
58,138,217
59,139,217
60,140,218
61,141,218
62,142,219
63,143,219
64,144,219
65,145,220
66,146,220
67,147,220
68,148,221
70,149,221
71,150,222
72,151,222
73,152,222
74,153,223
75,154,223
77,155,223
78,156,224
79,157,224
80,158,225
82,159,225
83,160,225
84,160,226
85,161,226
87,162,226
88,163,227
89,164,227
90,165,227
92,166,228
93,167,228
94,168,228
96,169,229
97,170,229
98,171,229
100,172,230
101,173,230
102,174,230
104,175,231
105,176,231
106,177,231
108,178,232
109,179,232
110,180,232
112,181,233
113,182,233
115,183,233
116,184,234
117,185,234
119,186,234
120,187,235
121,188,235
123,189,235
124,190,236
126,191,236
127,192,236
128,193,237
130,194,237
131,195,237
133,196,237
134,196,238
135,197,238
137,198,238
138,199,239
140,200,239
141,201,239
142,202,239
144,203,240
145,204,240
147,205,240
148,206,241
149,207,241
151,207,241
152,208,241
153,209,242
155,210,242
156,211,242
158,212,242
159,213,243
160,213,243
162,214,243
163,215,243
164,216,244
166,217,244
167,218,244
168,218,244
170,219,245
171,220,245
172,221,245
174,222,245
175,222,246
176,223,246
177,224,246
179,225,246
180,225,247
181,226,247
182,227,247
184,228,247
185,228,247
186,229,248
187,230,248
189,231,248
190,231,248
191,232,248
192,233,249
193,233,249
195,234,249
196,235,249
197,235,249
198,236,249
199,236,250
200,237,250
201,238,250
202,238,250
203,239,250
204,239,250
205,240,251
207,241,251
208,241,251
209,242,251
210,242,251
211,243,251
211,243,252
212,244,252
213,244,252
214,245,252
215,245,252
216,246,252
217,246,252
218,247,252
219,247,253
219,247,253
220,248,253
221,248,253
222,249,253
223,249,253
223,249,253
224,250,253
225,250,253
226,250,253
226,251,254
227,251,254
228,251,254
228,252,254
229,252,254
229,252,254
230,252,254
230,253,254
231,253,254
231,253,254
232,253,254
232,253,254
233,254,254
233,254,254
234,254,254
234,254,254
234,254,254
235,254,254
235,254,254
235,254,254
236,254,254
236,254,254
236,254,254
236,254,254
237,254,254
237,254,254
237,254,254
237,254,254
237,254,254
238,254,254
238,254,253
238,254,253
238,254,253
238,254,252
238,254,252
239,254,251
239,254,251
239,254,250
239,254,249
239,253,249
240,253,248
240,253,247
240,253,246
240,253,245
240,253,244
240,252,243
241,252,242
241,252,241
241,252,240
241,252,239
241,251,238
241,251,237
242,251,235
242,251,234
242,250,233
242,250,232
242,250,230
242,249,229
243,249,227
243,249,226
243,249,224
243,248,223
243,248,221
243,248,220
243,247,218
244,247,216
244,247,215
244,246,213
244,246,211
244,246,210
244,245,208
245,245,206
245,244,204
245,244,202
245,244,201
245,243,199
245,243,197
245,242,195
246,242,193
246,242,191
246,241,189
246,241,187
